,State name,Page ID,Wikipedia URL,Number of characters,Number of Images,Number of Links,Region,IDH,Expectativa,PIB (em milhões de reais),Number of characters (Norm),Number of Images (Norm),Number of Links (Norm)
0,Distrito Federal,684,https://pt.wikipedia.org/wiki/Distrito_Federal_(Brasil),161317,44,295,Centro-Oeste,0.824,78.4,254817.0,0.13196810376051374,0.0,0.0
1,Minas Gerais,1257,https://pt.wikipedia.org/wiki/Minas_Gerais,226853,483,9374,Sudeste,0.731,77.5,614876.0,0.20732325700389215,0.5592356687898089,0.3386170371475459
2,São Paulo,1719,https://pt.wikipedia.org/wiki/S%C3%A3o_Paulo_(estado),524582,717,9084,Sudeste,0.783,78.4,2210562.0,0.5496605131684096,0.8573248407643311,0.3278009846337461
3,Rio Grande do Sul,2731,https://pt.wikipedia.org/wiki/Rio_Grande_do_Sul,511223,642,7931,Sul,0.746,78.0,457294.0,0.5342999557316069,0.7617834394904458,0.2847978517081904
4,Bahia,453,https://pt.wikipedia.org/wiki/Bahia,443711,462,7913,Nordeste,0.66,73.7,286240.0,0.4566727415933172,0.532484076433121,0.2841265105176787
5,Paraná,1483,https://pt.wikipedia.org/wiki/Paran%C3%A1,343400,291,4494,Sul,0.749,77.4,440029.0,0.3413323061533066,0.3146496815286624,0.15660898105325974
6,Santa Catarina,1705,https://pt.wikipedia.org/wiki/Santa_Catarina,256668,503,7738,Sul,0.774,79.4,298227.0,0.24160539039548345,0.5847133757961783,0.2775995822765926
7,Goiás,917,https://pt.wikipedia.org/wiki/Goi%C3%A1s,131717,85,1144,Centro-Oeste,0.735,74.3,195682.0,0.09793318347236676,0.05222929936305732,0.03166492615246905
8,Paraíba,1517,https://pt.wikipedia.org/wiki/Para%C3%ADba,217308,255,3428,Nordeste,0.658,73.5,64374.0,0.19634814503935288,0.26878980891719745,0.11685066388184394
9,Maranhão,1254,https://pt.wikipedia.org/wiki/Maranh%C3%A3o,248436,135,2830,Nordeste,0.639,70.9,98179.0,0.23214000310453664,0.1159235668789809,0.09454721766373266
10,Pernambuco,1518,https://pt.wikipedia.org/wiki/Pernambuco,312528,215,3597,Nordeste,0.673,74.3,186352.0,0.3058348041554798,0.2178343949044586,0.12315381172609279
11,Ceará,558,https://pt.wikipedia.org/wiki/Cear%C3%A1,218892,221,4380,Nordeste,0.682,74.1,155904.0,0.198169473206124,0.22547770700636943,0.15235715351335224
12,Rio Grande do Norte,1657,https://pt.wikipedia.org/wiki/Rio_Grande_do_Norte,118338,286,3739,Nordeste,0.684,76.0,66970.0,0.08254962946780195,0.30828025477707005,0.12844994778457408
13,Pará,1516,https://pt.wikipedia.org/wiki/Par%C3%A1,80955,116,1475,Norte,0.646,72.3,161350.0,0.03956559483497089,0.09171974522292994,0.044010144711323286
14,Mato Grosso,1255,https://pt.wikipedia.org/wiki/Mato_Grosso,120543,229,1176,Centro-Oeste,0.725,74.5,137443.0,0.08508500106359126,0.2356687898089172,0.032858421602267644
15,Tocantins,1825,https://pt.wikipedia.org/wiki/Tocantins,100303,49,1587,Norte,0.699,73.7,35666.0,0.06181247448818263,0.006369426751592362,0.04818737878561838
16,Alagoas,299,https://pt.wikipedia.org/wiki/Alagoas,63098,209,2012,Nordeste,0.631,72.0,54413.0,0.01903310930843572,0.21019108280254778,0.064038490228256
17,Rio de Janeiro,1658,https://pt.wikipedia.org/wiki/Rio_de_Janeiro_(estado),241990,98,1309,Sudeste,0.761,76.5,758859.0,0.22472820931475979,0.06878980891719746,0.037818887065493065
18,Mato Grosso do Sul,1256,https://pt.wikipedia.org/wiki/Mato_Grosso_do_Sul,199282,456,6950,Centro-Oeste,0.729,75.8,106969.0,0.1756213385152266,0.5248407643312102,0.2482097568253021
19,Espírito Santo,775,https://pt.wikipedia.org/wiki/Esp%C3%ADrito_Santo_(estado),345228,182,3305,Not Avaible,0.74,78.5,137020.0,0.3434341924467773,0.17579617834394903,0.11226316574668058
20,Sergipe,1718,https://pt.wikipedia.org/wiki/Sergipe,46545,94,1079,Nordeste,0.665,72.9,42018.0,0.0,0.06369426751592355,0.029240638520065643
21,Amazonas,298,https://pt.wikipedia.org/wiki/Amazonas,233172,429,10078,Norte,0.674,72.1,100109.0,0.2145890225883787,0.49044585987261147,0.364873937043115
22,Rondônia,1655,https://pt.wikipedia.org/wiki/Rond%C3%B4nia,56003,139,2095,Norte,0.69,71.5,44914.0,0.010875076894773454,0.12101910828025478,0.06713411905117112
23,Acre,9203,https://pt.wikipedia.org/wiki/Acre,140050,96,2276,Norte,0.663,74.2,15331.0,0.107514703430513,0.06624203821656052,0.07388482768909443
24,Amapá,297,https://pt.wikipedia.org/wiki/Amap%C3%A1,183179,109,2051,Norte,0.708,74.2,16795.0,0.15710565198144177,0.08280254777070065,0.06549306280769804
25,Roraima,1656,https://pt.wikipedia.org/wiki/Roraima,112782,147,1851,Norte,0.707,71.8,13370.0,0.0761611829434457,0.13121019108280255,0.058033716246456805
26,Piauí,1519,https://pt.wikipedia.org/wiki/Piau%C3%AD,115635,76,927,Nordeste,0.646,71.2,50378.0,0.0794416433347323,0.04076433121019108,0.023571535133522302
27,California,5407,https://en.wikipedia.org/wiki/California,916240,829,27107,US,0.934,81.7,18020705.0,1.0,1.0,0.9999999999999999
